Index,Value
0,MaxEStateIndex
1,MinEStateIndex
2,MaxAbsEStateIndex
3,MinAbsEStateIndex
4,qed
5,MolWt
6,HeavyAtomMolWt
7,ExactMolWt
8,NumValenceElectrons
9,NumRadicalElectrons
10,MaxPartialCharge
11,MinPartialCharge
12,MaxAbsPartialCharge
13,MinAbsPartialCharge
14,FpDensityMorgan1
15,FpDensityMorgan2
16,FpDensityMorgan3
17,BCUT2D_MWHI
18,BCUT2D_MWLOW
19,BCUT2D_CHGHI
20,BCUT2D_CHGLO
21,BCUT2D_LOGPHI
22,BCUT2D_LOGPLOW
23,BCUT2D_MRHI
24,BCUT2D_MRLOW
25,BalabanJ
26,BertzCT
27,Chi0
28,Chi0n
29,Chi0v
30,Chi1
31,Chi1n
32,Chi1v
33,Chi2n
34,Chi2v
35,Chi3n
36,Chi3v
37,Chi4n
38,Chi4v
39,HallKierAlpha
40,Ipc
41,Kappa1
42,Kappa2
43,Kappa3
44,LabuteASA
45,PEOE_VSA1
46,PEOE_VSA10
47,PEOE_VSA11
48,PEOE_VSA12
49,PEOE_VSA13
50,PEOE_VSA14
51,PEOE_VSA2
52,PEOE_VSA3
53,PEOE_VSA4
54,PEOE_VSA5
55,PEOE_VSA6
56,PEOE_VSA7
57,PEOE_VSA8
58,PEOE_VSA9
59,SMR_VSA1
60,SMR_VSA10
61,SMR_VSA2
62,SMR_VSA3
63,SMR_VSA4
64,SMR_VSA5
65,SMR_VSA6
66,SMR_VSA7
67,SMR_VSA8
68,SMR_VSA9
69,SlogP_VSA1
70,SlogP_VSA10
71,SlogP_VSA11
72,SlogP_VSA12
73,SlogP_VSA2
74,SlogP_VSA3
75,SlogP_VSA4
76,SlogP_VSA5
77,SlogP_VSA6
78,SlogP_VSA7
79,SlogP_VSA8
80,SlogP_VSA9
81,TPSA
82,EState_VSA1
83,EState_VSA10
84,EState_VSA11
85,EState_VSA2
86,EState_VSA3
87,EState_VSA4
88,EState_VSA5
89,EState_VSA6
90,EState_VSA7
91,EState_VSA8
92,EState_VSA9
93,VSA_EState1
94,VSA_EState10
95,VSA_EState2
96,VSA_EState3
97,VSA_EState4
98,VSA_EState5
99,VSA_EState6
100,VSA_EState7
101,VSA_EState8
102,VSA_EState9
103,FractionCSP3
104,HeavyAtomCount
105,NHOHCount
106,NOCount
107,NumAliphaticCarbocycles
108,NumAliphaticHeterocycles
109,NumAliphaticRings
110,NumAromaticCarbocycles
111,NumAromaticHeterocycles
112,NumAromaticRings
113,NumHAcceptors
114,NumHDonors
115,NumHeteroatoms
116,NumRotatableBonds
117,NumSaturatedCarbocycles
118,NumSaturatedHeterocycles
119,NumSaturatedRings
120,RingCount
121,MolLogP
122,MolMR
123,fr_Al_COO
124,fr_Al_OH
125,fr_Al_OH_noTert
126,fr_ArN
127,fr_Ar_COO
128,fr_Ar_N
129,fr_Ar_NH
130,fr_Ar_OH
131,fr_COO
132,fr_COO2
133,fr_C_O
134,fr_C_O_noCOO
135,fr_C_S
136,fr_HOCCN
137,fr_Imine
138,fr_NH0
139,fr_NH1
140,fr_NH2
141,fr_N_O
142,fr_Ndealkylation1
143,fr_Ndealkylation2
144,fr_Nhpyrrole
145,fr_SH
146,fr_aldehyde
147,fr_alkyl_carbamate
148,fr_alkyl_halide
149,fr_allylic_oxid
150,fr_amide
151,fr_amidine
152,fr_aniline
153,fr_aryl_methyl
154,fr_azide
155,fr_azo
156,fr_barbitur
157,fr_benzene
158,fr_benzodiazepine
159,fr_bicyclic
160,fr_diazo
161,fr_dihydropyridine
162,fr_epoxide
163,fr_ester
164,fr_ether
165,fr_furan
166,fr_guanido
167,fr_halogen
168,fr_hdrzine
169,fr_hdrzone
170,fr_imidazole
171,fr_imide
172,fr_isocyan
173,fr_isothiocyan
174,fr_ketone
175,fr_ketone_Topliss
176,fr_lactam
177,fr_lactone
178,fr_methoxy
179,fr_morpholine
180,fr_nitrile
181,fr_nitro
182,fr_nitro_arom
183,fr_nitro_arom_nonortho
184,fr_nitroso
185,fr_oxazole
186,fr_oxime
187,fr_para_hydroxylation
188,fr_phenol
189,fr_phenol_noOrthoHbond
190,fr_phos_acid
191,fr_phos_ester
192,fr_piperdine
193,fr_piperzine
194,fr_priamide
195,fr_prisulfonamd
196,fr_pyridine
197,fr_quatN
198,fr_sulfide
199,fr_sulfonamd
200,fr_sulfone
201,fr_term_acetylene
202,fr_tetrazole
203,fr_thiazole
204,fr_thiocyan
205,fr_thiophene
206,fr_unbrch_alkane
207,fr_urea
